clean_names,name,sflag,AphiaID,HAB,warning_level,italic
Scrippsiella_cyst-like,Scrippsiella,sp.,109545,FALSE,,TRUE
Scrippsiella_group,Scrippsiella,group,NA,FALSE,,TRUE
Scrippsiella_group_pair,Scrippsiella,group,109545,FALSE,,TRUE
Skeletonema_spp,Skeletonema,spp.,149073,FALSE,,TRUE
Snowella-Woronichinia2,Cyanophyceae,,146542,FALSE,,FALSE
Snowella_Woronichinia,Cyanophyceae,,146542,FALSE,,FALSE
Stellarima_stellaris,Stellarima stellaris,,149653,FALSE,,TRUE
Stenosemella_spp,Stenosemella,spp.,178825,FALSE,,TRUE
Stephanopyxis-like,Stephanopyxidaceae,,149254,FALSE,,FALSE
Striatella_spp,Striatella,spp.,149176,FALSE,,TRUE
Strombidium-like,Strombidiidae,,1703,FALSE,,FALSE
Sundstroemia_pungens,Sundstroemia pungens,,1590708,FALSE,,TRUE
Sundstroemia_setigera,Sundstroemia setigera,,1590706,FALSE,,TRUE
Synura-like_colony,Synuraceae,,178593,FALSE,,FALSE
Thalassionema_nitzschioides,Thalassionema nitzschioides,,149093,FALSE,,TRUE
Thalassiosira_angulata,Thalassiosira angulata,,148913,FALSE,,TRUE
Thalassiosira_anguste-lineata,Thalassiosira anguste-lineata,,148914,FALSE,,TRUE
Thalassiosira_gravida-like,Thalassiosira,,148912,FALSE,,TRUE
Thalassiosira_levanderi,Thalassiosira levanderi,,149308,FALSE,,TRUE
Thalassiosira_minuscula,Thalassiosira minuscula,,555293,FALSE,,TRUE
Thalassiosira_nordenskioeldii,Thalassiosira nordenskioeldii,,148931,FALSE,,TRUE
Thalassiosira_punctigera,Thalassiosira punctigera,,148936,FALSE,,TRUE
Thalassiosira_spp_chain,Thalassiosira,spp.,148912,FALSE,,TRUE
Thalassiosira_spp_single,Thalassiosira,spp.,148912,FALSE,,TRUE
Tiarina-like,Colepidae,,163181,FALSE,,FALSE
Tiarina_fusus,Tiarina fusus,,247943,FALSE,,TRUE
Tintinnids,Tintinnida,,425497,FALSE,,FALSE
Torodinium_robustum,Torodinium robustum,,109889,FALSE,,TRUE
Trieres_mobiliensis,Trieres mobiliensis,,839991,FALSE,,TRUE
Tripos_furca,Tripos furca,,840627,FALSE,,TRUE
Tripos_fusus,Tripos fusus,,840626,FALSE,,TRUE
Tripos_horridus,Tripos horridus,,837453,FALSE,,TRUE
Tripos_horridus_Tripos_longipes,Tripos,spp.,494057,FALSE,,TRUE
Tripos_lineatus,Tripos lineatus,,837459,FALSE,,TRUE
Tripos_longipes,Tripos longipes,,841259,FALSE,,TRUE
Tripos_macroceros,Tripos macroceros,,841260,FALSE,,TRUE
Tripos_muelleri,Tripos muelleri,,495363,FALSE,,TRUE
Tripos_spp,Tripos,spp.,494057,FALSE,,TRUE
Unicell_larger_than_10um,Unicells,,1,FALSE,,FALSE
Unicell_smaller_than_10um,Unicells,,1,FALSE,,FALSE
Unicells,Unicells,,1,FALSE,,FALSE
Uroglenopsis_sp,Uroglenopsis,sp.,555950,FALSE,,TRUE
Uronema-like,Uronematidae,,172295,FALSE,,FALSE
Vicicitus-like,Vicicitus,sp.,707571,TRUE,,TRUE
Warnowia-like,Warnowiaceae,,109415,FALSE,,FALSE
Zooplankton,Crustacea,,1066,FALSE,,FALSE
mixed,Aggregate,,NA,FALSE,,FALSE
unclassified,Unclassified,,NA,FALSE,,FALSE
